"url","price","stars"
"/dp/B08CZY6NV9/?coliid=I3VJCYDYSDMZTY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$568.50
","4.5"
"/dp/B0897Y6KNY/?coliid=I1KF9758V0RHWH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$6,499.00
","4.7"
"/dp/B07RJYSV7H/?coliid=I3N7Q98XR0L3MH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$359.00
","3.8"
"/dp/1593070209/?coliid=I1CEORQWQG3HTI&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B07SKCLW2G/?coliid=I11F2OY000W5MK&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/1589934806/?coliid=I1UDM0KC0G85IX&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$584.13
","5.0"
"/dp/B07V2C2CVP/?coliid=I3H5SFS4S6PV7Y&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$531.25
","5.0"
"/dp/B07FHPNSW7/?coliid=I3P1ZS5MSNYIZ1&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$542.52
","5.0"
"/dp/B077BCRZ6F/?coliid=I2FLBFT7GQJ0MF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$992.73
","4.8"
"/dp/B08L7PPJGR/?coliid=IUWW19G93MONM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$35,499.00
","5.0"
"/dp/B08L7TBYJC/?coliid=IN777HNHUSVII&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$27,498.99
","5.0"
"/dp/B08L7SZSD9/?coliid=I30Q0SQQBWGCZ2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$30,499.00
","4.4"
"/dp/B071DN1JCN/?coliid=I32DUV3KI2FEFT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,699.00
","4.2"
"/dp/B01MZ7A0RS/?coliid=I29ZMO7U84QCET&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","3.7"
"/dp/B07R5RVRCG/?coliid=I31ND3WTZLH5PY&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","
$2,404.76
","3.7"
"/dp/B0044XKX7O/?coliid=I1UJTQ6XQILY6S&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,500.00
","4.5"
"/dp/B00L6SHDLE/?coliid=I1MKGQP8XWY6RB&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,749.00
","4.7"
